timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687532868675,165,/api/v2/berry/iapapa,200,OK,Poke Api - run 1-1,text,true,,1915,134,1,1,https://pokeapi.co/api/v2/berry/iapapa,165,0,137
1687532868841,22,/api/v2/berry-firmness/very-soft,200,OK,Poke Api - run 1-1,text,true,,2230,146,1,1,https://pokeapi.co/api/v2/berry-firmness/very-soft,22,0,0
1687532868864,22,/api/v2/berry-flavor/spicy,200,OK,Poke Api - run 1-1,text,true,,4117,140,1,1,https://pokeapi.co/api/v2/berry-flavor/spicy,20,0,0
1687532868886,20,/api/v2/contest-type/cool,200,OK,Poke Api - run 1-1,text,true,,1751,139,1,1,https://pokeapi.co/api/v2/contest-type/cool,20,0,0
1687532868906,20,/api/v2/contest-effect/1,200,OK,Poke Api - run 1-1,text,true,,1422,138,1,1,https://pokeapi.co/api/v2/contest-effect/1,20,0,0
1687532868927,23,/api/v2/super-contest-effect/1,200,OK,Poke Api - run 1-1,text,true,,2351,144,1,1,https://pokeapi.co/api/v2/super-contest-effect/1,20,0,0
1687532868951,27,/api/v2/item/ultra-ball,200,OK,Poke Api - run 1-1,text,true,,19485,137,1,1,https://pokeapi.co/api/v2/item/ultra-ball,20,0,0
1687532868979,683,/api/v2/item-attribute/countable,200,OK,Poke Api - run 1-1,text,true,,5907,146,1,1,https://pokeapi.co/api/v2/item-attribute/countable,681,0,0
1687532869678,102,/api/v2/berry/pinap,200,OK,Poke Api - run 1-2,text,true,,1928,133,2,2,https://pokeapi.co/api/v2/berry/pinap,102,0,76
1687532869782,23,/api/v2/berry-firmness/soft,200,OK,Poke Api - run 1-2,text,true,,2805,141,2,2,https://pokeapi.co/api/v2/berry-firmness/soft,22,0,0
1687532869805,23,/api/v2/berry-flavor/dry,200,OK,Poke Api - run 1-2,text,true,,4205,138,2,2,https://pokeapi.co/api/v2/berry-flavor/dry,22,0,0
1687532869830,36,/api/v2/contest-type/beauty,200,OK,Poke Api - run 1-2,text,true,,1756,141,2,2,https://pokeapi.co/api/v2/contest-type/beauty,35,0,0
1687532869866,20,/api/v2/contest-effect/3,200,OK,Poke Api - run 1-2,text,true,,1495,138,2,2,https://pokeapi.co/api/v2/contest-effect/3,20,0,0
1687532869887,22,/api/v2/super-contest-effect/3,404,Not Found,Poke Api - run 1-2,text,false,,992,144,2,2,https://pokeapi.co/api/v2/super-contest-effect/3,22,0,0
1687532869909,30,/api/v2/item/poke-ball,200,OK,Poke Api - run 1-2,text,true,,19859,136,2,2,https://pokeapi.co/api/v2/item/poke-ball,23,0,0
1687532869663,903,/api/v2/item-category/plates,200,OK,Poke Api - run 1-1,text,true,,2582,142,2,2,https://pokeapi.co/api/v2/item-category/plates,902,0,0
1687532870665,76,/api/v2/berry/razz,200,OK,Poke Api - run 1-3,text,true,,1959,132,3,3,https://pokeapi.co/api/v2/berry/razz,76,0,53
1687532869939,818,/api/v2/item-attribute/holdable,200,OK,Poke Api - run 1-2,text,true,,12771,145,3,3,https://pokeapi.co/api/v2/item-attribute/holdable,811,0,0
1687532870742,21,/api/v2/berry-firmness/hard,200,OK,Poke Api - run 1-3,text,true,,2643,141,3,3,https://pokeapi.co/api/v2/berry-firmness/hard,20,0,0
1687532870764,21,/api/v2/berry-flavor/sweet,200,OK,Poke Api - run 1-3,text,true,,4119,140,3,3,https://pokeapi.co/api/v2/berry-flavor/sweet,20,0,0
1687532870786,26,/api/v2/contest-type/cute,200,OK,Poke Api - run 1-3,text,true,,1752,139,3,3,https://pokeapi.co/api/v2/contest-type/cute,25,0,0
1687532870812,35,/api/v2/contest-effect/5,200,OK,Poke Api - run 1-3,text,true,,1457,138,3,3,https://pokeapi.co/api/v2/contest-effect/5,35,0,0
1687532870847,24,/api/v2/super-contest-effect/5,200,OK,Poke Api - run 1-3,text,true,,5919,144,3,3,https://pokeapi.co/api/v2/super-contest-effect/5,22,0,0
1687532870872,32,/api/v2/item/premier-ball,200,OK,Poke Api - run 1-3,text,true,,18911,139,3,3,https://pokeapi.co/api/v2/item/premier-ball,21,0,0
1687532870567,731,/api/v2/item-fling-effect/burn,200,OK,Poke Api - run 1-1,text,true,,1306,144,3,3,https://pokeapi.co/api/v2/item-fling-effect/burn,731,0,0
1687532870758,738,/api/v2/item-category/training,200,OK,Poke Api - run 1-2,text,true,,1833,144,3,3,https://pokeapi.co/api/v2/item-category/training,738,0,0
1687532871665,82,/api/v2/berry/rawst,200,OK,Poke Api - run 1-4,text,true,,1911,133,4,4,https://pokeapi.co/api/v2/berry/rawst,82,0,54
1687532871748,19,/api/v2/berry-firmness/very-hard,200,OK,Poke Api - run 1-4,text,true,,2398,146,4,4,https://pokeapi.co/api/v2/berry-firmness/very-hard,18,0,0
1687532871768,27,/api/v2/berry-flavor/bitter,200,OK,Poke Api - run 1-4,text,true,,4042,141,4,4,https://pokeapi.co/api/v2/berry-flavor/bitter,25,0,0
1687532871795,21,/api/v2/contest-type/smart,200,OK,Poke Api - run 1-4,text,true,,1754,140,4,4,https://pokeapi.co/api/v2/contest-type/smart,20,0,0
1687532871816,65,/api/v2/contest-effect/7,200,OK,Poke Api - run 1-4,text,true,,1460,138,4,4,https://pokeapi.co/api/v2/contest-effect/7,64,0,0
1687532871881,23,/api/v2/super-contest-effect/7,200,OK,Poke Api - run 1-4,text,true,,2935,144,4,4,https://pokeapi.co/api/v2/super-contest-effect/7,21,0,0
1687532871905,30,/api/v2/item/antidote,200,OK,Poke Api - run 1-4,text,true,,18134,135,4,4,https://pokeapi.co/api/v2/item/antidote,21,0,0
1687532870904,1192,/api/v2/item-attribute/consumable,200,OK,Poke Api - run 1-3,text,true,,5777,147,4,4,https://pokeapi.co/api/v2/item-attribute/consumable,1190,0,0
1687532871299,874,/api/v2/item-pocket/medicine,200,OK,Poke Api - run 1-1,text,true,,2064,142,4,4,https://pokeapi.co/api/v2/item-pocket/medicine,874,0,0
1687532872174,21,/api/v2/location/eterna-forest,200,OK,Poke Api - run 1-1,text,true,,1622,144,4,4,https://pokeapi.co/api/v2/location/eterna-forest,21,0,0
1687532871496,813,/api/v2/item-fling-effect/paralyze,200,OK,Poke Api - run 1-2,text,true,,1313,148,4,4,https://pokeapi.co/api/v2/item-fling-effect/paralyze,813,0,0
1687532872195,262,/api/v2/location-area/eterna-forest-area,200,OK,Poke Api - run 1-1,text,true,,30314,154,4,4,https://pokeapi.co/api/v2/location-area/eterna-forest-area,246,0,0
1687532872665,76,/api/v2/berry/lum,200,OK,Poke Api - run 1-5,text,true,,1926,131,5,5,https://pokeapi.co/api/v2/berry/lum,76,0,51
1687532871935,815,/api/v2/item-attribute/underground,200,OK,Poke Api - run 1-4,text,true,,4544,148,5,5,https://pokeapi.co/api/v2/item-attribute/underground,812,0,0
1687532872742,23,/api/v2/berry-firmness/super-hard,200,OK,Poke Api - run 1-5,text,true,,2478,147,5,5,https://pokeapi.co/api/v2/berry-firmness/super-hard,22,0,0
1687532872765,29,/api/v2/berry-flavor/sour,200,OK,Poke Api - run 1-5,text,true,,4052,139,5,5,https://pokeapi.co/api/v2/berry-flavor/sour,27,0,0
1687532872794,20,/api/v2/contest-type/tough,200,OK,Poke Api - run 1-5,text,true,,1755,140,5,5,https://pokeapi.co/api/v2/contest-type/tough,19,0,0
1687532872814,46,/api/v2/contest-effect/9,200,OK,Poke Api - run 1-5,text,true,,1451,138,5,5,https://pokeapi.co/api/v2/contest-effect/9,45,0,0
1687532872097,765,/api/v2/item-category/choice,200,OK,Poke Api - run 1-3,text,true,,1517,142,5,5,https://pokeapi.co/api/v2/item-category/choice,765,0,0
1687532872860,24,/api/v2/super-contest-effect/9,200,OK,Poke Api - run 1-5,text,true,,1950,144,5,5,https://pokeapi.co/api/v2/super-contest-effect/9,23,0,0
1687532872884,29,/api/v2/item/ice-heal,200,OK,Poke Api - run 1-5,text,true,,18017,135,5,5,https://pokeapi.co/api/v2/item/ice-heal,23,0,0
1687532872457,590,/api/v2/pal-park-area/forest,200,OK,Poke Api - run 1-1,text,true,,12564,142,5,5,https://pokeapi.co/api/v2/pal-park-area/forest,587,0,0
1687532872309,772,/api/v2/item-pocket/machines,200,OK,Poke Api - run 1-2,text,true,,1721,142,5,5,https://pokeapi.co/api/v2/item-pocket/machines,772,0,0
1687532873082,257,/api/v2/location/chargestone-cave,200,OK,Poke Api - run 1-2,text,true,,2048,147,5,5,https://pokeapi.co/api/v2/location/chargestone-cave,256,0,0
1687532872750,596,/api/v2/item-category/evolution,200,OK,Poke Api - run 1-4,text,true,,3650,145,5,5,https://pokeapi.co/api/v2/item-category/evolution,591,0,0
1687532872862,748,/api/v2/item-fling-effect/poison,200,OK,Poke Api - run 1-3,text,true,,1314,146,5,5,https://pokeapi.co/api/v2/item-fling-effect/poison,748,0,0
1687532873666,85,/api/v2/berry/iapapa,200,OK,Poke Api - run 1-6,text,true,,1919,134,6,6,https://pokeapi.co/api/v2/berry/iapapa,84,0,57
1687532873752,23,/api/v2/berry-firmness/very-soft,200,OK,Poke Api - run 1-6,text,true,,2230,146,6,6,https://pokeapi.co/api/v2/berry-firmness/very-soft,22,0,0
1687532873048,748,/api/v2/region/unova,200,OK,Poke Api - run 1-1,text,true,,11192,134,6,6,https://pokeapi.co/api/v2/region/unova,746,0,0
1687532873776,23,/api/v2/berry-flavor/spicy,200,OK,Poke Api - run 1-6,text,true,,4115,140,6,6,https://pokeapi.co/api/v2/berry-flavor/spicy,22,0,0
