timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687344617829,648,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-10,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,648,0,126
1687344617829,661,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-1,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,661,0,124
1687344617828,665,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,665,0,125
1687344617829,664,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-3,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,664,0,127
1687344617827,672,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-2,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,672,0,129
1687344617828,678,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-4,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,678,0,127
1687344617828,678,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-6,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,678,0,129
1687344617829,679,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-8,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,679,0,126
1687344617829,682,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-9,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,681,0,126
1687344617828,687,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-7,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,687,0,128
1687344618479,356,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-10,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,356,0,53
1687344618494,344,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-3,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,344,0,49
1687344618494,346,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,346,0,45
1687344618501,345,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-2,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,345,0,51
1687344618492,354,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-1,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,353,0,55
1687344618508,349,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-6,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,349,0,52
1687344618511,348,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-9,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,348,0,48
1687344618516,343,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-7,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,343,0,48
1687344618508,355,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-4,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,355,0,52
1687344618509,354,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-8,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,354,0,51
1687344618839,349,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-3,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,349,0,52
1687344618836,355,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-10,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,355,0,51
1687344618840,356,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,355,0,50
1687344618846,350,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-2,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,350,0,55
1687344618847,352,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-1,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,352,0,54
1687344618864,344,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-8,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,344,0,52
1687344618863,345,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-4,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,345,0,50
1687344618859,350,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-7,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,350,0,53
1687344618859,584,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-6,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,583,0,56
1687344618859,585,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-9,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,585,0,57
1687344619190,346,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-3,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,346,0,44
1687344619192,354,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-10,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,354,0,60
1687344619199,353,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-1,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,353,0,51
1687344619196,360,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-2,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,360,0,56
1687344619196,360,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,360,0,57
1687344619210,352,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-8,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,351,0,55
1687344619209,357,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-4,text,true,,3187,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/lisa,357,0,55
1687344619210,518,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-7,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,518,0,58
1687344619443,343,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-6,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,343,0,53
1687344619445,348,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-9,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,348,0,50
1687344619547,332,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-10,text,true,,1835,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/marge,332,0,46
1687344619537,345,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-3,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/homero,345,0,45
1687344619556,339,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-5,text,true,,1225,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/krusty,339,0,48
1687344619556,343,get personaje,200,OK,RequestPorPersonaje - 5 c/ 2 min 1-2,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/bart,343,0,41
